City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,monrovia,6.3005,-10.7969,300.85,88,36,1.14,LR,1710621655
1,cape girardeau,37.3834,-89.7168,292.48,35,69,5.77,US,1710621656
2,bilibino,68.0546,166.4372,251.74,92,21,1.32,RU,1710621656
3,la passe,45.5549,-0.8967,287.6,82,100,3.61,FR,1710621656
4,grytviken,-54.2811,-36.5092,277.89,86,34,4.37,GS,1710621657
5,klyuchi,52.2667,79.1667,268.59,93,100,5.19,RU,1710621657
6,papar,5.7333,115.9333,301.15,83,84,1.58,MY,1710621658
7,siping,43.1633,124.3686,270.11,70,99,7.99,CN,1710621658
8,adamstown,-25.066,-130.1015,298.77,81,42,5.62,PN,1710621575
9,port-aux-francais,-49.35,70.2167,279.28,88,100,12.5,TF,1710621659
10,tanabe,33.7333,135.3667,284.57,78,25,1.14,JP,1710621659
11,bethel,41.3712,-73.414,288.31,46,75,3.6,US,1710621659
12,saint-pierre,-21.3393,55.4781,298.97,73,0,2.57,RE,1710621660
13,margaret river,-33.95,115.0667,290.52,94,6,4.3,AU,1710621576
14,ushuaia,-54.8,-68.3,278.96,65,75,8.23,AR,1710621661
15,fale old settlement,-9.3852,-171.2468,302.6,68,99,3.9,TK,1710621376
16,yellowknife,62.456,-114.3525,261.71,68,75,3.6,CA,1710621661
17,acarau,-2.8856,-40.12,299.7,86,100,3.57,BR,1710621473
18,chinchilla,-26.75,150.6333,290.38,88,10,3.65,AU,1710621662
19,nova sintra,14.8667,-24.7167,293.7,79,0,9.23,CV,1710621663
20,waitangi,-43.9535,-176.5597,287.49,82,85,4.92,NZ,1710621663
21,longyearbyen,78.2186,15.6401,253.06,65,20,7.2,SJ,1710621663
22,vorgashor,67.5833,63.95,259.82,82,100,5.22,RU,1710621402
23,west island,-12.1568,96.8225,299.14,78,40,2.06,CC,1710621664
24,gurupi,-11.7292,-49.0686,299.95,87,100,1.92,BR,1710621665
25,tisul',55.7611,88.3122,268.53,86,99,6.89,RU,1710621665
26,tiksi,71.6872,128.8694,243.04,98,66,2.33,RU,1710621666
27,ironton,38.5368,-82.6829,292.68,44,0,4.12,US,1710621383
28,uvira,-3.4067,29.1458,296.34,81,6,0.91,CD,1710621666
29,kiama,-34.6833,150.8667,291.69,95,100,1.63,AU,1710621580
30,puerto natales,-51.7236,-72.4875,281.4,57,75,7.72,CL,1710621380
31,san patricio,28.017,-97.5169,303.8,50,73,4.23,US,1710621668
32,newman,37.3138,-121.0208,294.98,37,13,1.79,US,1710621668
33,puerto ayora,-0.7393,-90.3518,304.13,86,79,2.68,EC,1710621668
34,east london,-33.0153,27.9116,293.19,84,100,6.2,ZA,1710621610
35,bikenibeu village,1.3673,173.1241,301.13,94,40,3.6,KI,1710621669
36,isafjordur,66.0755,-23.124,269.94,89,100,10.23,IS,1710621670
37,ifanadiana,-21.3,47.6333,294.32,99,60,0.37,MG,1710621670
38,anadyr,64.75,177.4833,250.43,76,75,2.0,RU,1710621670
39,uusikaupunki,60.8004,21.4084,272.88,89,100,9.03,FI,1710621671
40,college,64.8569,-147.8028,261.93,57,100,0.0,US,1710621671
41,hithadhoo,-0.6,73.0833,301.5,69,27,3.9,MV,1710621672
42,vadso,70.0744,29.7487,265.64,67,100,6.69,NO,1710621672
43,anjad,22.0333,75.05,299.48,23,0,1.66,IN,1710621672
44,callao,-12.0667,-77.15,297.31,73,40,5.14,PE,1710621602
45,banqiao,25.0143,121.4672,293.17,88,40,0.89,TW,1710621673
46,inhambane,-23.865,35.3833,298.86,87,0,4.39,MZ,1710621509
47,illizi,26.4833,8.4667,293.04,22,0,3.19,DZ,1710621674
48,toungo,8.1167,12.05,303.55,24,2,1.68,NG,1710621674
49,edinburgh of the seven seas,-37.0676,-12.3116,291.22,80,100,6.12,SH,1710621675
50,george town,5.4112,100.3354,300.11,79,20,1.54,MY,1710621477
51,kapa'a,22.0752,-159.319,299.14,63,0,5.66,US,1710621676
52,laguna,38.421,-121.4238,294.9,49,0,2.06,US,1710621069
53,ribeira grande,38.5167,-28.7,289.69,72,40,8.75,PT,1710621677
54,cockburn town,21.4612,-71.1419,298.4,72,6,8.06,TC,1710621678
55,cidreira,-30.1811,-50.2056,296.59,93,85,0.69,BR,1710621404
